,x,y,h,s
0,0.0,0.0,0.0,0.13105920890733702
1,0.0,0.0,0.0,0.2618314459671087
2,0.0,0.0,0.0,0.39237288200726733
3,0.0,0.0,0.0,0.6528284677727325
4,0.0,0.0,0.0,0.7827330003635525
5,0.0,0.0,0.0,0.9124205153183231
6,0.0,0.0,0.0,1.0418711784095596
7,0.0,0.0,0.0,1.3001276977443197
8,0.0,0.0,0.0,1.428988100687946
9,0.0,0.0,0.0,1.5576485537538214
10,0.0,0.0,0.0,1.6860666647590707
11,0.0,0.0,0.0,1.9420408302920535
12,0.0,0.0,0.0,2.0696450073980013
13,0.0,0.0,0.0,2.1970551142153005
14,0.0,0.0,0.0,2.324253444671275
15,0.0,0.0,0.0,2.5779525199501405
16,0.0,0.0,0.0,2.704448080540646
17,0.0,0.0,0.0,2.8306940082052248
18,0.0,0.0,0.0,2.9567175038047107
19,0.0,0.0,0.0,3.082589636826605
20,0.0,0.0,0.0,3.208249015654515
21,0.0,0.0,0.0,3.333626930239082
22,0.0,0.0,0.0,3.4587175996862904
23,0.0,0.0,0.0,3.5835794103637864
24,0.0,0.0,0.0,3.832683545578648
25,0.0,0.0,0.0,3.956909223855741
26,0.0,0.0,0.0,4.080910742024106
27,0.0,0.0,0.0,4.204696999564177
28,0.0,0.0,0.0,4.45160402523558
29,0.0,0.0,0.0,4.574802751154249
30,0.0,0.0,0.0,4.697778809736534
31,0.0,0.0,0.0,4.8204443425950405
32,0.0,0.0,0.0,5.064952648986992
33,0.0,0.0,0.0,5.186901953340032
34,0.0,0.0,0.0,5.30865022622647
35,0.0,0.0,0.0,5.430128114297123
36,0.0,0.0,0.0,5.672316746904527
37,0.0,0.0,0.0,5.793045825048765
38,0.0,0.0,0.0,5.9136287210957565
39,0.0,0.0,0.0,6.034045937815199
40,0.0,0.0,0.0,6.27404945094388
41,0.0,0.0,0.0,6.393661908643874
42,0.0,0.0,0.0,6.513059033489538
43,0.0,0.0,0.0,6.63224614164152
44,0.0,0.0,0.0,6.869938744765942
45,0.0,0.0,0.0,6.988459359122826
46,0.0,0.0,0.0,7.106737243296293
47,0.0,0.0,0.0,7.224858367853175
48,0.0,0.0,0.0,7.4604675700178795
49,0.0,0.0,0.0,7.577877687761048
50,0.0,0.0,0.0,7.695000043300407
51,0.0,0.0,0.0,7.811898355869066
52,0.0,0.0,0.0,8.044990185562567
53,0.0,0.0,0.0,8.161224402833888
54,0.0,0.0,0.0,8.277218255749073
55,0.0,0.0,0.0,8.392965187473267
56,0.0,0.0,0.0,8.623990013548774
57,0.0,0.0,0.0,8.739168873377784
58,0.0,0.0,0.0,8.854023779030705
59,0.0,0.0,0.0,8.968608059459562
60,0.0,0.0,0.0,9.197165321522666
61,0.0,0.0,0.0,9.311111597849015
62,0.0,0.0,0.0,9.424836841830816
63,0.0,0.0,0.0,9.538348851977158
64,0.0,0.0,0.0,9.764751146293685
65,0.0,0.0,0.0,9.877682109114787
66,0.0,0.0,0.0,9.99034052572049
67,0.0,0.0,0.0,10.102714155054079
68,0.0,0.0,0.0,10.326721535491831
69,0.0,0.0,0.0,10.43839242232226
70,0.0,0.0,0.0,10.549845134358119
71,0.0,0.0,0.0,10.661080460507772
72,0.0,0.0,0.0,10.772094929943686
73,0.0,0.0,0.0,10.882913495742113
74,0.0,0.0,0.0,10.993560587306801
75,0.0,0.0,0.0,11.103999339562042
76,0.0,0.0,0.0,11.214144459546633
77,0.0,0.0,0.0,11.433627637580827
78,0.0,0.0,0.0,11.543007867988884
79,0.0,0.0,0.0,11.652182600092496
80,0.0,0.0,0.0,11.761152923657095
81,0.0,0.0,0.0,11.978420005691895
82,0.0,0.0,0.0,12.086825035090609
83,0.0,0.0,0.0,12.19501268656989
84,0.0,0.0,0.0,12.302900749521612
85,0.0,0.0,0.0,12.51789414585496
86,0.0,0.0,0.0,12.625075687186625
87,0.0,0.0,0.0,12.732038029164439
88,0.0,0.0,0.0,12.838771339782733
89,0.0,0.0,0.0,13.051542659331309
90,0.0,0.0,0.0,13.157667410458503
91,0.0,0.0,0.0,13.26352758718976
92,0.0,0.0,0.0,13.369098173768975
93,0.0,0.0,0.0,13.47442098016309
94,0.0,0.0,0.0,13.579522096645535
95,0.0,0.0,0.0,13.684395813637336
96,0.0,0.0,0.0,13.789043886871175
97,0.0,0.0,0.0,13.893489227572083
98,0.0,0.0,0.0,14.101855655390883
99,0.0,0.0,0.0,14.205717492253369
100,0.0,0.0,0.0,14.30928166098988
101,0.0,0.0,0.0,14.412569493668071
102,0.0,0.0,0.0,14.618438897992789
103,0.0,0.0,0.0,14.721033376854466
104,0.0,0.0,0.0,14.823443905094228
105,0.0,0.0,0.0,14.925698740993807
106,0.0,0.0,0.0,15.129629494643238
107,0.0,0.0,0.0,15.23118363712651
108,0.0,0.0,0.0,15.332469218151754
109,0.0,0.0,0.0,15.433507464210011
110,0.0,0.0,0.0,15.634887503742233
111,0.0,0.0,0.0,15.735241114743065
112,0.0,0.0,0.0,15.835397845081161
113,0.0,0.0,0.0,15.935381396500853
114,0.0,0.0,0.0,16.03511633739003
115,0.0,0.0,0.0,16.134555522214743
116,0.0,0.0,0.0,16.233766722570792
117,0.0,0.0,0.0,16.332757873864537
118,0.0,0.0,0.0,16.43151925834295
119,0.0,0.0,0.0,16.62841139270045
120,0.0,0.0,0.0,16.72658733670468
121,0.0,0.0,0.0,16.82453884441771
122,0.0,0.0,0.0,16.922237200219147
123,0.0,0.0,0.0,17.116858291726366
124,0.0,0.0,0.0,17.213777734984863
125,0.0,0.0,0.0,17.31048754724752
126,0.0,0.0,0.0,17.407060426646577
127,0.0,0.0,0.0,17.599574782851143
128,0.0,0.0,0.0,17.69540774884457
129,0.0,0.0,0.0,17.79103865892355
130,0.0,0.0,0.0,17.886433251046608
131,0.0,0.0,0.0,18.07663486001105
132,0.0,0.0,0.0,18.171483570111544
133,0.0,0.0,0.0,18.266061271690475
134,0.0,0.0,0.0,18.360328590026164
135,0.0,0.0,0.0,18.54821234670711
136,0.0,0.0,0.0,18.641876017469283
137,0.0,0.0,0.0,18.735372507919102
138,0.0,0.0,0.0,18.828690477317895
139,0.0,0.0,0.0,19.014436318867713
140,0.0,0.0,0.0,19.106919935723823
141,0.0,0.0,0.0,19.19918217545845
142,0.0,0.0,0.0,19.291213197770322
143,0.0,0.0,0.0,19.474727743076404
144,0.0,0.0,0.0,19.566118276394388
145,0.0,0.0,0.0,19.657935803190643
146,0.0,0.0,0.0,19.74962052146748
147,0.0,0.0,0.0,19.84030239813115
148,0.0,0.0,0.0,19.930668061229895
149,0.0,0.0,0.0,20.020909225416094
150,0.0,0.0,0.0,20.110903403550026
151,0.0,0.0,0.0,20.20064491932921
152,0.0,0.0,0.0,20.379537218152244
153,0.0,0.0,0.0,20.468735861971002
154,0.0,0.0,0.0,20.557722100560703
155,0.0,0.0,0.0,20.64641152195737
156,0.0,0.0,0.0,20.82320249340107
157,0.0,0.0,0.0,20.911335911725086
158,0.0,0.0,0.0,20.99921844892581
159,0.0,0.0,0.0,21.086807168644086
160,0.0,0.0,0.0,21.2613319805855
161,0.0,0.0,0.0,21.34827664667071
162,0.0,0.0,0.0,21.434959926050453
163,0.0,0.0,0.0,21.521443201637315
164,0.0,0.0,0.0,21.693730565970064
165,0.0,0.0,0.0,21.779536025868822
166,0.0,0.0,0.0,21.865128968543143
167,0.0,0.0,0.0,21.95046903576191
168,0.0,0.0,0.0,22.03553221182154
169,0.0,0.0,0.0,22.12041342783316
170,0.0,0.0,0.0,22.205128682036097
171,0.0,0.0,0.0,22.28958705090321
172,0.0,0.0,0.0,22.37382409604243
173,0.0,0.0,0.0,22.541638586069848
174,0.0,0.0,0.0,22.625228512265533
175,0.0,0.0,0.0,22.708584718855423
176,0.0,0.0,0.0,22.791709820415168
177,3.4936714213794304e-11,3.551457420647229e-12,0.010009765934336567,22.943055081609646
178,3.4936714213794304e-11,3.551457420647229e-12,0.010009765934336567,22.9672091190893
179,3.4936714213794304e-11,3.551457420647229e-12,0.010009765934336567,22.91688756396182
180,1.1725846192264705e-11,7.074434069950708e-12,0.02001953186602934,22.776680300924568
181,2.2953622456872783e-11,-0.000193006538075619,0.059997559180473704,22.227145369617446
182,3.705865517929176e-11,-0.0005790196624608629,0.0900268562126505,21.817960379033188
183,9.231163044461807e-12,-0.0007720262577915392,0.14001464852630677,21.318390290313467
184,5.290201329139139e-11,-0.0011580393801598982,0.2000122077907185,20.72643497606361
185,4.217022112177974e-11,-0.0019300657091820609,0.36004638631777935,19.26877586929065
186,-1.002728465594771e-12,-0.0028950985709220805,0.47003173899123024,18.417744625986092
187,3.880576758772248e-11,-0.0036671249476674557,0.5900268547222977,17.491430408918145
188,4.067046732537181e-11,-0.004439151351947412,0.7400512701149725,16.491104758867262
189,4.690991831335039e-11,-0.005597191004652476,0.9100341801081467,15.429442203753549
190,4.8162090681527067e-11,-0.007141243891652426,1.1000366221333664,14.324781558570269
191,4.7291272987923806e-11,-0.0086852969276959,1.3200073245263293,13.199665009219565
192,-1.2737014245295856e-15,-0.010229350116755203,1.5599975587844024,12.067090049365502
193,4.816966687109819e-11,-0.012159416651960308,1.8200073241479544,10.931667656637623
194,3.0338306242186677e-11,-0.016598570363361556,2.420043945158587,8.684273532786502
195,5.140263065182554e-13,-0.018914650968346165,2.760009766089351,7.603872229752672
196,5.03088454520869e-11,-0.021616745191446237,3.119995117195464,6.584265316780687
197,3.0471036409568415e-11,-0.024318839840509518,3.510009766101358,5.6656746428602025
198,2.5873903819898684e-11,-0.030688063917598974,4.360046386582432,4.423868478973161
199,-2.315817822094751e-11,-0.03416218685172664,4.8200073243699,4.295094528165728
200,2.1648284531389287e-11,-0.03782931716535126,5.309997558186878,4.565894891555514
201,4.075027123152821e-11,-0.04168945494383801,5.820007323960741,5.180518665003138
202,2.292860070568429e-11,-0.04998875325167932,6.920043945817369,7.060359949688164
