,timeUS,a_x,a_y,a_z,g_x,g_y,g_z
108,51734626,9.217153549194336,-0.06406362354755402,-3.356113910675049,0.0006973264971747994,0.0007517819758504629,0.0007199590327218175
110,51754626,9.217341423034668,-0.06442152708768845,-3.3555421829223633,0.0008049850584939122,0.0007414253777824342,0.0007280240533873439
112,51774626,9.217087745666504,-0.06498473137617111,-3.3556270599365234,0.000751383020542562,0.0007539569051004946,0.0007918865885585546
115,51794626,9.218701362609863,-0.06648515909910202,-3.3542914390563965,0.000683498801663518,0.0005893962224945426,0.0005663518095389009
116,51814626,9.217175483703613,-0.06522897630929947,-3.356454849243164,0.0007567042484879494,0.0007689440972171724,0.0007755359401926398
118,51834626,9.217029571533203,-0.06522615253925323,-3.35563588142395,0.000777114590164274,0.0007399361347779632,0.0007540018996223807
120,51854626,9.217281341552734,-0.06534355878829956,-3.356443166732788,0.0007112904568202794,0.0007377280853688717,0.000722536351531744
123,51874626,9.214204788208008,-0.06559614837169647,-3.3551459312438965,0.000761600851546973,0.0006735672941431403,0.0007714452804066241
125,51894626,9.216243743896484,-0.06346938014030457,-3.356423854827881,0.0006497296853922307,0.0009425187599845231,0.0009297337383031845
126,51914626,9.217716217041016,-0.06527428328990936,-3.356001853942871,0.000771667342633009,0.0007869848632253706,0.0007643918506801128
128,51934626,9.218162536621094,-0.06459776312112808,-3.3560333251953125,0.0007809573435224593,0.0007413576822727919,0.0007354479748755693
130,51954626,9.217310905456543,-0.06505464762449265,-3.3565831184387207,0.0007262238068506122,0.000752373191062361,0.0007048326660878956
132,51974626,9.216364860534668,-0.06404711306095123,-3.3552963733673096,0.0007257524994201958,0.0007569290464743972,0.0007616124930791557
135,51994626,9.218873977661133,-0.06415850669145584,-3.3544764518737793,0.0008447989821434021,0.0007269827765412629,0.0007227370515465736
136,52014626,9.2166748046875,-0.06555114686489105,-3.35514760017395,0.0007409433019347489,0.0007987167336978018,0.0007817911682650447
138,52034626,9.216545104980469,-0.06577476859092712,-3.354846954345703,0.0007675662054680288,0.0008193009998649359,0.0007808691007085145
140,52054626,9.21782112121582,-0.06588666886091232,-3.3557443618774414,0.000771363265812397,0.0007357750437222421,0.000828457297757268
142,52074626,9.217062950134277,-0.0649896115064621,-3.355675220489502,0.0007876435411162674,0.0007654631044715643,0.0007821931503713131
145,52094626,9.217545509338379,-0.06611187011003494,-3.3587238788604736,0.0006440368015319109,0.0007286551408469677,0.0009003482409752905
146,52114626,9.217744827270508,-0.06527995318174362,-3.3557796478271484,0.000766483717598021,0.0007828476373106241,0.0007633583154529333
148,52134626,9.217089653015137,-0.06506514549255371,-3.354980945587158,0.0007511310977861285,0.0007593349437229335,0.0007672415813431144
150,52154626,9.217721939086914,-0.06534126400947571,-3.355811357498169,0.0007622434059157968,0.0006997486343607306,0.0007207375601865351
153,52174626,9.21804141998291,-0.06529999524354935,-3.3540916442871094,0.000955399009399116,0.0008281393675133586,0.0006907883798703551
155,52194626,9.216070175170898,-0.06630891561508179,-3.3549559116363525,0.0006640030187554657,0.0007873308495618403,0.0007413245039060712
156,52214626,9.217123031616211,-0.0642932802438736,-3.3557381629943848,0.0007403031922876835,0.00073274876922369,0.0007269133348017931
158,52234626,9.217506408691406,-0.06515982747077942,-3.3560197353363037,0.0007657741662114859,0.0008002613903954625,0.0007561319507658482
160,52254626,9.217836380004883,-0.06479586660861969,-3.3560264110565186,0.0007759113796055317,0.0007899652700871229,0.0007932664593681693
163,52274626,9.217031478881836,-0.06440980732440948,-3.3576505184173584,0.0006478670984506607,0.0007479020860046148,0.0006833997322246432
165,52294626,9.216636657714844,-0.06435886025428772,-3.35567045211792,0.0008205709746107459,0.0006115607684478164,0.0006834677187725902
166,52314626,9.216995239257812,-0.06604379415512085,-3.3561019897460938,0.0007702371804043651,0.0007588349981233478,0.0007065908284857869
168,52334626,9.217517852783203,-0.06420895457267761,-3.3556346893310547,0.0007435394218191504,0.0007317035924643278,0.0007458756444975734
170,52354626,9.21653938293457,-0.06496423482894897,-3.3560843467712402,0.0007222339627332985,0.0007753049139864743,0.0007769275107420981
172,52374626,9.216797828674316,-0.06525997817516327,-3.356567859649658,0.0008020245586521924,0.0007244053995236754,0.0007633934146724641
175,52394626,9.217216491699219,-0.06768648326396942,-3.357361316680908,0.0006980148609727621,0.0008841733797453344,0.0006632094155065715
176,52414626,9.217643737792969,-0.06507399678230286,-3.355355978012085,0.0007791356183588505,0.0007038559997454286,0.0007689314661547542
178,52434626,9.217024803161621,-0.06438139826059341,-3.356344223022461,0.0007542867679148912,0.0007612166227772832,0.0007840461912564933
180,52454626,9.217202186584473,-0.06502243131399155,-3.355526924133301,0.0007826992659829557,0.0007322661695070565,0.0007686738390475512
183,52474626,9.216777801513672,-0.0651143491268158,-3.354402780532837,0.0009038259158842266,0.0007261826540343463,0.0008357883198186755
185,52494626,9.217698097229004,-0.06537295877933502,-3.3567912578582764,0.0006365827284753323,0.0007905327947810292,0.0006761681870557368
186,52514626,9.217405319213867,-0.06444685161113739,-3.355893135070801,0.0007758394349366426,0.0007756482227705419,0.0007855931180529296
188,52534626,9.216171264648438,-0.06507392227649689,-3.3549675941467285,0.0007628471357747912,0.000764992437325418,0.0007726236945018172
190,52554626,9.216297149658203,-0.06439980864524841,-3.3547909259796143,0.0007754195248708129,0.0007841785554774106,0.0007414340507239103
192,52574626,9.216897964477539,-0.06493465602397919,-3.3542771339416504,0.0007763493922539055,0.000779453432187438,0.0007663120049983263
195,52594626,9.216995239257812,-0.06430474668741226,-3.354710817337036,0.0008517177193425596,0.0005635502166114748,0.0007062098593451083
196,52614626,9.216453552246094,-0.06547059118747711,-3.356226921081543,0.0007666164892725646,0.0007676592795178294,0.0007789320661686361
198,52634626,9.216254234313965,-0.06459136307239532,-3.3564767837524414,0.0006931721582077444,0.0007977767963893712,0.0007493151351809502
200,52654626,9.21626091003418,-0.06458832323551178,-3.3544273376464844,0.0007323481841012836,0.000768784899264574,0.0007226500893011689
202,52674626,9.21652603149414,-0.06559456884860992,-3.3556339740753174,0.000727088947314769,0.0008081200066953897,0.0007261657156050205
205,52694626,9.21436882019043,-0.06460290402173996,-3.3583340644836426,0.0006675633485428989,0.0008298210450448096,0.0009249889408238232
206,52714626,9.215632438659668,-0.06390602141618729,-3.3557891845703125,0.0007696598186157644,0.0007556196651421487,0.0007485956884920597
208,52734626,9.216958999633789,-0.06584888696670532,-3.3566598892211914,0.0007495963363908231,0.0007008869433775544,0.0007706639007665217
210,52754626,9.216357231140137,-0.0651327520608902,-3.3553600311279297,0.0007642468553967774,0.0007487120456062257,0.0007685864111408591
212,52774626,9.217455863952637,-0.06478354334831238,-3.3383450508117676,0.0007764951442368329,0.0005102969007566571,0.0007767127244733274
215,52794626,9.215450286865234,-0.06055578589439392,-3.3735690116882324,0.0008974965894594789,0.0006231447914615273,0.0006098990561440587
216,52814626,9.218155860900879,-0.06462585926055908,-3.35536527633667,0.0007899034535512328,0.0007944248500280082,0.0007740245200693607
218,52834626,9.216317176818848,-0.06588524580001831,-3.356342077255249,0.0007533612078987062,0.0007855095900595188,0.0007425923831760883
220,52854626,9.216646194458008,-0.0647733211517334,-3.355937957763672,0.000792998936958611,0.0008036770159378648,0.000803908915258944
222,52874626,9.216690063476562,-0.06408081948757172,-3.355455160140991,0.0007497830665670335,0.0008254700805991888,0.0007532972376793623
225,52894626,9.216861724853516,-0.06558478623628616,-3.3550946712493896,0.0007319712894968688,0.0007972276653163135,0.0007765879272483289
226,52914626,9.216245651245117,-0.06487436592578888,-3.354893922805786,0.0007913168519735336,0.0007976407650858164,0.0007879551849327981
228,52934626,9.216960906982422,-0.06707662343978882,-3.3554420471191406,0.0007492366130463779,0.0008187413914129138,0.0007765227346681058
230,52954626,9.216670989990234,-0.06495533883571625,-3.3555054664611816,0.0008012447506189346,0.0007838444435037673,0.0007422048365697265
232,52974626,9.217926025390625,-0.06526689231395721,-3.3564112186431885,0.0007808664813637733,0.0007818326121196151,0.0007516519399359822
235,52994626,9.214972496032715,-0.06536764651536942,-3.357081890106201,0.0008017000509425998,0.0008671152754686773,0.0007335123955272138
236,53014626,9.217572212219238,-0.06421075761318207,-3.3562798500061035,0.0008000422967597842,0.0007944466779008508,0.0007373902481049299
238,53034626,9.216337203979492,-0.06498115509748459,-3.356234550476074,0.0007374472334049642,0.0007727223564870656,0.0007391641847789288
240,53054626,9.218330383300781,-0.06541502475738525,-3.3560259342193604,0.0007376470603048801,0.0007735674735158682,0.0007353599648922682
242,53074626,9.217643737792969,-0.06451544165611267,-3.3565940856933594,0.0007954993052408099,0.0008199884905479848,0.0008047609007917345
244,53094626,9.216747283935547,-0.06452547758817673,-3.3566746711730957,0.0007831632392480969,0.0007788479560986161,0.0007554527837783098
247,53114626,9.218303680419922,-0.06757006794214249,-3.3569176197052,0.0005606504855677485,0.0006099793245084584,0.0008027928415685892
248,53134626,9.217116355895996,-0.06634404510259628,-3.3566982746124268,0.0007584732957184315,0.0007760613225400448,0.0008254044805653393
250,53154626,9.217446327209473,-0.0647726058959961,-3.3555939197540283,0.0007875372539274395,0.0007564799161627889,0.0007795757846906781
252,53174626,9.217652320861816,-0.06463631242513657,-3.356175422668457,0.0007956577464938164,0.0007729151984676719,0.0007142527028918266
254,53194626,9.217584609985352,-0.0658615306019783,-3.3567912578582764,0.0007755245896987617,0.0008661561878398061,0.000714068824891001
257,53214626,9.215799331665039,-0.06676992774009705,-3.356579065322876,0.0006433441303670406,0.0007364509510807693,0.0006934474222362041
258,53234626,9.216850280761719,-0.06547045707702637,-3.3549156188964844,0.0007761578308418393,0.0007632373599335551,0.0007444613729603589
260,53254626,9.216728210449219,-0.06403644382953644,-3.3557090759277344,0.0007840783800929785,0.0008349409908987582,0.0007537448545917869
262,53274626,9.216904640197754,-0.06402570754289627,-3.355782985687256,0.0007497822516597807,0.000776054454036057,0.0007228445028886199
264,53294626,9.216915130615234,-0.06481240689754486,-3.356351852416992,0.0007710257777944207,0.0008024700218811631,0.0007440019981004298
267,53314626,9.21662712097168,-0.06428167968988419,-3.357393503189087,0.0006680429796688259,0.0008112572832033038,0.0006701789097860456
268,53334626,9.217418670654297,-0.06586544215679169,-3.3558502197265625,0.000795121246483177,0.0007418353343382478,0.0007640167023055255
270,53354626,9.216751098632812,-0.06474614888429642,-3.3569090366363525,0.0008240811293944716,0.0007570157176814973,0.0008075542282313108
272,53374626,9.217151641845703,-0.06524763256311417,-3.3556745052337646,0.0007432862184941769,0.0007480712374672294,0.0007909828564152122
274,53394626,9.216951370239258,-0.06482260674238205,-3.368027687072754,0.00075094576459378,0.0004773666150867939,0.0008071596967056394
277,53414626,9.216157913208008,-0.06492398679256439,-3.365262269973755,0.0008416376076638699,0.0008527106256224215,0.0009620407363399863
278,53434626,9.216644287109375,-0.06470204144716263,-3.354918956756592,0.0007720122812315822,0.0008001829264685512,0.000773357052821666
280,53454626,9.217193603515625,-0.06490041315555573,-3.356167793273926,0.000759137561544776,0.0007914624875411391,0.0007858770550228655
282,53474626,9.216174125671387,-0.06570334732532501,-3.355475902557373,0.0008357127080671489,0.0008322306675836444,0.0008276570588350296
285,53494626,9.219412803649902,-0.06338460743427277,-3.3552069664001465,0.0009302415419369936,0.0008582861628383398,0.0006802159477956593
287,53514626,9.214191436767578,-0.0667608380317688,-3.3539812564849854,0.0007824872154742479,0.0007828760426491499,0.0007830032263882458
288,53534626,9.21777629852295,-0.06626502424478531,-3.3550939559936523,0.0007807282963767648,0.0008184749167412519,0.0007477481849491596
290,53554626,9.21712875366211,-0.06438186764717102,-3.355762481689453,0.0007404725765809417,0.0008145224419422448,0.0007843202911317348
292,53574626,9.217134475708008,-0.06643117964267731,-3.3554303646087646,0.0007672467036172748,0.0008021474932320416,0.0007854689029045403
294,53594626,9.217483520507812,-0.06541652977466583,-3.3565516471862793,0.0008060842519626021,0.0007222150452435017,0.0007832632400095463
297,53614626,9.218342781066895,-0.06387022137641907,-3.3580121994018555,0.001007488346658647,0.0007836928707547486,0.0007781190797686577
298,53634626,9.216384887695312,-0.06564608216285706,-3.357191801071167,0.0007296899566426873,0.0007842621416784823,0.0007847725646570325
300,53654626,9.217551231384277,-0.06530019640922546,-3.356346845626831,0.0007242760621011257,0.0007864156505092978,0.0008060368709266186
302,53674626,9.21699333190918,-0.0638570636510849,-3.3564095497131348,0.0007287986227311194,0.0007636055815964937,0.000791533850133419
305,53694626,9.216008186340332,-0.06442788243293762,-3.3549506664276123,0.0008595719700679183,0.0007064503151923418,0.0008861423702910542
307,53714626,9.216653823852539,-0.06514077633619308,-3.3565006256103516,0.0008325070957653224,0.0008545962627977133,0.000918127887416631
308,53734626,9.217098236083984,-0.06516863405704498,-3.3555877208709717,0.0007809348171576858,0.0007625619182363153,0.0007114303298294544
310,53754626,9.216070175170898,-0.06414264440536499,-3.3561103343963623,0.0007786804344505072,0.0007742609595879912,0.0007420229958370328
312,53774626,9.21613597869873,-0.06493943184614182,-3.3557167053222656,0.0007829045644029975,0.0007910230779089034,0.0008288505487143993
314,53794626,9.21673583984375,-0.06512918323278427,-3.355182409286499,0.0007940884097479284,0.0007876238669268787,0.0007901939679868519
317,53814626,9.217816352844238,-0.06440084427595139,-3.355436086654663,0.0008632956305518746,0.0006876626284793019,0.0005125206080265343
318,53834626,9.216180801391602,-0.06454439461231232,-3.355300188064575,0.0007906677201390266,0.0008185558835975826,0.0007604554411955178
320,53854626,9.216813087463379,-0.06581459194421768,-3.355766534805298,0.0007792830001562834,0.0007964590913616121,0.0008017063955776393
322,53874626,9.21740436553955,-0.06585606187582016,-3.3558735847473145,0.0007578797522000968,0.0007674347143620253,0.0008014722261577845
324,53894626,9.21734619140625,-0.06426535546779633,-3.3555314540863037,0.0007637860253453255,0.0007546801934950054,0.0008434600895270705
327,53914626,9.218616485595703,-0.06633521616458893,-3.356729507446289,0.0009490244556218386,0.0007808513473719358,0.0009280734811909497
329,53934626,9.216140747070312,-0.06718423962593079,-3.354182720184326,0.0006790937040932477,0.0008154665119946003,0.0008481768891215324
330,53954626,9.21733283996582,-0.06499898433685303,-3.3557071685791016,0.0007799958111718297,0.000773515785112977,0.0008101797429844737
332,53974626,9.21701717376709,-0.06609177589416504,-3.3554136753082275,0.0007588699809275568,0.0007766719209030271,0.0007732030935585499
334,53994626,9.216080665588379,-0.06484217941761017,-3.3562192916870117,0.0007739707361906767,0.0007507072295993567,0.0007904426311142743
336,54014626,9.215706825256348,-0.06494301557540894,-3.3207736015319824,0.0007957222405821085,0.0005629492807202041,0.0007669939659535885
338,54034626,9.21639633178711,-0.0647723376750946,-3.369711399078369,0.0007770424708724022,0.0007264827727340162,0.0007416900480166078
341,54054626,9.216358184814453,-0.06537505984306335,-3.3699285984039307,0.000899741193279624,0.0007738356944173574,0.0008570109494030476
342,54074626,9.21585750579834,-0.06478096544742584,-3.355499505996704,0.0007835786091163754,0.0008179353317245841,0.0007524380343966186
344,54094626,9.216880798339844,-0.0647215023636818,-3.3566551208496094,0.0008158331620506942,0.0008131981594488025,0.0007808989612385631
346,54114626,9.217744827270508,-0.06501616537570953,-3.355855703353882,0.0007975430926308036,0.0007774315308779478,0.0007479769992642105
348,54134626,9.216730117797852,-0.06459881365299225,-3.3555421829223633,0.0008258715970441699,0.0007939625065773726,0.0007876220624893904
351,54154626,9.217435836791992,-0.06574226915836334,-3.3585524559020996,0.000873009383212775,0.000874495948664844,0.0007045289967209101
352,54174626,9.216964721679688,-0.06455416977405548,-3.3562815189361572,0.0007859334582462907,0.0008140369318425655,0.0007528456044383347
354,54194626,9.217750549316406,-0.06481298804283142,-3.356760025024414,0.0008350771386176348,0.0008004735573194921,0.0008082481799647212
356,54214626,9.216350555419922,-0.0648595318198204,-3.3554348945617676,0.0007909821579232812,0.0008331299759447575,0.000817776657640934
358,54234626,9.21745777130127,-0.06497865170240402,-3.35556960105896,0.0007901756325736642,0.0007749485084787011,0.000821988214738667
361,54254626,9.218374252319336,-0.06726472079753876,-3.354538917541504,0.0007943254895508289,0.000853607663884759,0.0010263571748510003
362,54274626,9.216747283935547,-0.06438657641410828,-3.355189085006714,0.0008367183618247509,0.0007738644490018487,0.0007471731514669955
364,54294626,9.216663360595703,-0.06520996987819672,-3.3553924560546875,0.0007664952427148819,0.0008252369007095695,0.0008148738997988403
366,54314626,9.216253280639648,-0.0648912787437439,-3.3576714992523193,0.0007591988542117178,0.0007852849084883928,0.0007481807842850685
369,54334626,9.215871810913086,-0.0629727840423584,-3.356691598892212,0.0006758788949809968,0.0008559133857488632,0.000912046991288662
371,54354626,9.2183837890625,-0.06523693352937698,-3.3569939136505127,0.000917979865334928,0.0008934390498325229,0.0009104636264964938
372,54374626,9.216690063476562,-0.06502823531627655,-3.355435848236084,0.0008548422483727336,0.0007837891462258995,0.0007992691243998706
